Index,True Label,Predicted Label,Price Now,Price in 3 Candles,Simulated Profit
319,0,1,1.1308057298604448,1.133368524037662,0.0022663434660289135
364,2,0,1.1278058137120657,1.1247511582173697,0.0
488,1,0,1.1035594778964188,1.1063484568503978,0.0
495,1,0,1.108645716780563,1.1117248430404796,0.0
496,1,0,1.1096223151824145,1.1124653341794817,0.0
668,1,0,1.1098305930806776,1.1126669515106755,0.0
978,2,0,1.1328093460690207,1.129972562864422,0.0
1051,1,0,1.134857085903103,1.1377831068145323,0.0
1052,0,1,1.135727839626617,1.138327572832196,0.0022890459446988872
1091,1,0,1.1386262488079435,1.1419346334708658,0.0
1092,1,0,1.139623748921473,1.1425694302831644,0.0
1117,2,0,1.1516083122875114,1.1485194486534973,0.0
1133,2,0,1.143200961088919,1.1398609644864377,0.0
1134,2,0,1.1423437266994985,1.138959920249634,0.0
1140,2,0,1.1368424460633018,1.133988763367691,0.0
1797,1,0,1.1159412576096392,1.1187713514679316,0.0
1867,2,0,1.110394438799971,1.107610458452543,0.0
